Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-12 06:07:05,19,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,2,3,4,0,3,0,0,0,"programiranje;glasba, petje;slikanje, risanje, fotografija",košarka;odbojka;plezanje,"pop;r'n'b / soul;rock;jazz;rap / hip-hop;blues;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:07:34,19,Ž,Facebook;Snapchat,0,0,0,4,0,0,0,4,0,0,"glasba, petje;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre;reševanje ugank",odbojka;kolesarjenje,pop
2016-06-12 06:07:50,19,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,3,5,0,2,0,0,0,"branje;slikanje, risanje, fotografija;kuhanje, kulinarika",nogomet;odbojka;jahanje,pop;rock;folk;klasična glasba
2016-06-12 06:08:03,,Ž,Facebook;Snapchat;YouTube,0,0,0,5,5,0,0,4,0,0,"programiranje;pisanje poezije, proze;glasba, petje;pohodništvo, hoja v hribe;kuhanje, kulinarika;vrtnarjenje, botanika;družabne igre",odbojka;plavanje;kolesarjenje,"pop;jazz;rap / hip-hop;folk;blues;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
2016-06-12 06:08:37,,M,Facebook;Snapchat;Instagram;YouTube,0,0,0,5,0,0,5,4,0,0,"programiranje;branje;glasba, petje;kuhanje, kulinarika","košarka;smučanje, bordanje",pop;rock;metal;reggage;funk;punk;blues
2016-06-12 06:08:48,19,Ž,Facebook;YouTube,0,0,0,4,5,0,0,0,0,0,"slikanje, risanje, fotografija;pohodništvo, hoja v hribe;družabne igre",tekmovalni ples,"pop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:10:22,,Ž,Facebook;Snapchat;Instagram;YouTube,0,4,0,5,4,0,2,0,0,0,"glasba, petje;slikanje, risanje, fotografija;družabne igre","tek, atletika;plavanje;kolesarjenje;smučanje, bordanje",pop;rock
2016-06-12 06:11:16,18,M,Facebook;YouTube,0,0,1,3,1,4,2,0,0,3,,"tek, atletika;borilni športi (taekwondo, karate, aikido...);fitnes","rap / hip-hop;reggage;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:11:41,18,M,Facebook;Snapchat;Instagram;Tumblr;YouTube;Car throttle,0,4,4,3,1,0,4,0,0,5,"programiranje;pisanje poezije, proze;glasba, petje;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe;zbirateljstvo","nogomet;rokomet;tek, atletika;Avtomobilizem",rock;metal;punk
2016-06-12 06:11:58,19,Ž,Facebook;Snapchat;YouTube,0,4,5,1,1,0,4,0,0,4,"branje;glasba, petje;slikanje, risanje, fotografija","odbojka;tek, atletika",r'n'b / soul;rock;jazz;reggage;funk;punk;blues;klasična glasba;alternativna
2016-06-12 06:14:54,20,Ž,Facebook;Snapchat;Instagram;Pinterest;Tumblr;YouTube,0,0,3,5,4,5,0,4,4,5,"branje;glasba, petje;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre;zbirateljstvo",odbojka;kolesarjenje;spanje,"pop;r'n'b / soul;jazz;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:16:54,19,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,0,4,5,0,0,5,0,0,"branje;pohodništvo, hoja v hribe;družabne igre;taborniki, skavti","joga;smučanje, bordanje",pop
2016-06-12 06:18:03,19,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,5,5,0,0,0,0,0,"branje;glasba, petje;slikanje, risanje, fotografija;kuhanje, kulinarika","tek, atletika;plavanje",pop;r'n'b / soul;rap / hip-hop;folk
2016-06-12 06:19:14,19,Ž,Facebook;Snapchat;Instagram;YouTube,5,0,3,2,0,0,3,5,0,0,"kuhanje, kulinarika",odbojka,rock;jazz;reggage
2016-06-12 06:19:46,18,Ž,Facebook;Instagram;Pinterest;Tumblr;YouTube;WeHeartIt,0,0,3,4,5,4,2,0,0,0,"branje;glasba, petje;slikanje, risanje, fotografija;kuhanje, kulinarika",fitnes,pop
2016-06-12 06:20:15,20,Ž,Facebook;Instagram,3,0,0,5,4,0,4,5,0,0,"pisanje poezije, proze","tek, atletika;kolesarjenje",pop;rock;klasična glasba
