created_at	author_screen_name	text
2016-06-26 21:57:45	easygoer132	#England hasn’t won a knockout game in 10 years! https://t.co/hGunzNdQwM #Iceland #Soccer #Football #EURO2016 ⚽ @STL_Blonde
2016-06-26 21:57:43	meawkimm	RT @Podolski10: We delivered a great win! We keep going ahead! 💪🏽⚽🇩🇪 #Euro2016 #Poldi #DieMannschaft #lp10 👊🏻 https://t.co/6Qki2ZLm27
2016-06-26 21:57:43	VladimirSalvad1	RT @Alanakatelyn: Drinks in the sun gearing up for the #EURO2016 game tonight! ☀️🍻🍻🍻
2016-06-26 21:57:37	iamimroze	@twittersports argentina will win #messi #copaamerica #euro2016
2016-06-26 21:57:37	AboHassn95	RT @DFB_Team_EN: Kisses for our quarterfinalists! 😘 #JederFuerJeden #EURO2016 #GERSVK https://t.co/9pmX47TKof
2016-06-26 21:57:36	IlanaDevazier	RT @leonlfc: You know a games bad when you go and wash the car before half time #EURO2016
2016-06-26 21:57:35	Rasha_eldib	RT @Fondo81: Photo Of the day #EURO2016 https://t.co/SvYMsH2dWl
2016-06-26 21:57:34	Beid25	@BrianPShea started witcher 3 within the last week but have also been watching #CopaAmerica and #EURO2016
2016-06-26 21:57:32	EnjoiJon	RT @FOXSoccer: Belgium are on fire, and they're not even at their best yet. @ayyy_west: https://t.co/rDydHGnvva #Euro2016 https://t.co/Bmsd…
2016-06-26 21:57:31	ONSENARII	RT @esmuellert_: Quarterfinal - we are coming 😀 3:0 against Slovakia #GERSVK #EURO2016 #diemannschaft #firstneverfollows #esmuellert https:…
2016-06-26 21:57:28	Xela_io	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:57:28	kim_whee	RT @BelRedDevils: What a beautiful night in Toulouse!! Tous Ensemble!! See you all in Lille ;-) ! #hunbel #Tousenfrance #euro2016 https://t…
2016-06-26 21:57:27	HenrikGehrmann	RT @DFB_Team_EN: Now with 5 goals, @Mario_Gomez is #GER's joint-top scorer at @UEFAEURO with @J_Klinsmann! ⚽⚽⚽⚽⚽ #EURO2016 #GERSVK https://…
2016-06-26 21:57:27	tonyjavier09	"RT @UEFAEURO: QF2: Wales v Belgium. Destination: Lille. 
#EURO2016 https://t.co/Zr0xWo6If1"
2016-06-26 21:57:25	ilariaBdj	Sorry 🖖🏽#HUNBEL #BELHON #EURO2016 https://t.co/JczjUDYfys
2016-06-26 21:57:24	IYATHER	"Finally the old @hazardeden10 is back !
#EURO2016"
2016-06-26 21:57:24	GRLOLSoapOperas	"Check out our new sports board on Facebook! Get Real LOL Pro Sports
https://t.co/rjXrc97YRT #NASCAR #Olympics2016 #EURO2016 #GRLOL #WWE"
