position	team	degree	popularity	name	surname
Midfielder	Romania	0.0	0.0	Alexandru	Chipciu
Midfielder	Romania	0.0	0.0	Andrei	Prepeliţă
Goalkeeper	Russia	0.0	0.0	Igor	Akinfeev
Goalkeeper	Russia	0.0	0.0	?	Guilherme
Goalkeeper	Russia	0.0	0.0	Yuri	Lodygin
Defender	Russia	0.0	0.0	Igor	Smolnikov
Defender	Russia	0.0	0.0	Sergei	Ignashevich
Defender	Russia	0.0	0.0	Aleksei	Berezutski
Defender	Russia	0.0	0.0	Roman	Shishkin
Defender	Russia	0.0	0.0	Georgi	Schennikov
Defender	Russia	0.0	0.0	Vasili	Berezutski
Defender	Russia	0.0	0.0	Dmitri	Kombarov
Defender	Russia	0.0	0.0	Dmitri	Torbinsky
Defender	Russia	0.0	0.0	Roman	Neustädter
Midfielder	Russia	0.0	0.0	Igor	Denisov
Midfielder	Russia	0.0	0.0	Oleg	Ivanov
Midfielder	Russia	0.0	0.0	Roman	Shirokov
Midfielder	Russia	0.0	0.0	Pavel	Mamaev
Midfielder	Russia	0.0	0.0	Alexander	Samedov
Midfielder	Russia	0.0	0.0	Denis	Glushakov
Midfielder	Russia	0.0	0.0	Oleg	Shatov
Midfielder	Russia	0.0	0.0	Alexander	Golovin
Forward	Russia	0.0	0.0	Aleksandr	Kokorin
Forward	Russia	0.0	0.0	Artyom	Dzyuba
Forward	Russia	0.0	0.0	Fyodor	Smolov
Goalkeeper	Slovakia	0.0	0.0	Ján	Mucha
Goalkeeper	Slovakia	0.0	0.0	Matúš	Kozáčik
Goalkeeper	Slovakia	0.0	0.0	Ján	Novota
Defender	Slovakia	0.0	0.0	Martin	Škrtel
Defender	Slovakia	0.0	0.0	Ján	Ďurica
Defender	Slovakia	0.0	0.0	Tomáš	Hubočan
Defender	Slovakia	0.0	0.0	Kornel	Saláta
Defender	Slovakia	0.0	0.0	Dušan	Švento
Defender	Slovakia	0.0	0.0	Nórbert	Gyömbér
Defender	Slovakia	0.0	0.0	Peter	Pekarík
Midfielder	Slovakia	0.0	0.0	Marek	Hamšík
Midfielder	Slovakia	0.0	0.0	Stanislav	Šesták
Midfielder	Slovakia	0.0	0.0	Juraj	Kucka
Midfielder	Slovakia	0.0	0.0	Viktor	Pečovský
Midfielder	Slovakia	0.0	0.0	Miroslav	Stoch
Midfielder	Slovakia	0.0	0.0	Vladimír	Weiss
Midfielder	Slovakia	0.0	0.0	Ondrej	Duda
Midfielder	Slovakia	0.0	0.0	Patrik	Hrošovský
Midfielder	Slovakia	0.0	0.0	Ján	Greguš
Forward	Slovakia	0.0	0.0	Adam	Nemec
Forward	Slovakia	0.0	0.0	Michal	Ďuriš
Defender	Slovakia	0.0	0.0	Milan	Škriniar
Goalkeeper	Spain	0.0	0.0	Iker	Casillas
Goalkeeper	Spain	0.0	0.0	David	de Gea
Goalkeeper	Spain	0.0	0.0	Sergio	Rico
Defender	Spain	0.0	0.0	Marc	Bartra
Defender	Spain	2.0	0.0	Jordi	Alba
Defender	Spain	0.0	0.0	César	Azpilicueta
Defender	Spain	0.0	0.0	?	Juanfran
Defender	Spain	0.0	0.0	Gerard	Piqué
Defender	Spain	3.0	0.0	Sergio	Ramos
Midfielder	Spain	0.0	0.0	Sergio	Busquets
Midfielder	Spain	0.0	0.0	Cesc	Fàbregas
Midfielder	Spain	0.0	0.0	Bruno	Soriano
Midfielder	Spain	0.0	0.0	Andrés	Iniesta
Midfielder	Spain	0.0	0.0	Mikel	San José
Midfielder	Spain	0.0	0.0	Lucas	Vázquez
Midfielder	Spain	0.0	0.0	?	Koke
Midfielder	Spain	3.0	0.0	David	Silva
Midfielder	Spain	0.0	0.0	Thiago	Alcântara
Forward	Spain	0.0	0.0	?	Pedro
Forward	Spain	0.0	0.0	Aritz	Aduriz
Forward	Spain	0.0	0.0	?	Nolito
Forward	Spain	0.0	0.0	Álvaro	Morata
Defender	Spain	0.0	0.0	Héctor	Bellerín
Goalkeeper	Sweden	0.0	0.0	Robin	Olsen
Goalkeeper	Sweden	0.0	0.0	Andreas	Isaksson
Goalkeeper	Sweden	0.0	0.0	Patrik	Carlgren
Defender	Sweden	0.0	0.0	Victor	Nilsson Lindelöf
Defender	Sweden	0.0	0.0	Mikael	Lustig
Defender	Sweden	0.0	0.0	Pontus	Jansson
Defender	Sweden	0.0	0.0	Erik	Johansson
Defender	Sweden	0.0	0.0	Andreas	Granqvist
Defender	Sweden	0.0	0.0	Ludwig	Augustinsson
Defender	Sweden	0.0	0.0	Martin	Olsson
Midfielder	Sweden	0.0	0.0	Albin	Ekdal
Midfielder	Sweden	0.0	0.0	Oscar	Hiljemark
Midfielder	Sweden	0.0	0.0	Erkan	Zengin
Midfielder	Sweden	0.0	0.0	Jimmy	Durmaz
Midfielder	Sweden	0.0	0.0	Emil	Forsberg
Midfielder	Sweden	0.0	0.0	Sebastian	Larsson
Midfielder	Sweden	0.0	0.0	Kim	Källström
Midfielder	Sweden	0.0	0.0	Pontus	Wernbloom
Midfielder	Sweden	0.0	0.0	Oscar	Lewicki
Forward	Sweden	6.0	0.0	Marcus	Berg
Forward	Sweden	0.0	0.0	John	Guidetti
Forward	Sweden	0.0	0.0	Emir	Kujovic
Forward	Sweden	1.0	0.0	Zlatan	Ibrahimovic
